carID,price
89856,11540
106581,25290
80886,13787
100174,17089
81376,23094
85391,10245
82175,14376
95250,14853
85071,4892
96210,16844
80317,27440
92731,20143
107704,9509
98302,7288
107055,22767
94621,42728
91709,17994
98193,46655
76189,17693
86871,14024
102917,6710
90923,28458
101603,5192
94196,21334
85174,15887
103370,12730
107877,16399
79567,14704
90091,9471
76169,13751
98708,11005
107347,21798
89583,9410
101591,11277
92160,15317
99676,12056
85354,17536
81900,11886
80345,21723
78509,32788
100872,9774
95087,27920
86027,16550
89135,14165
80557,26569
108092,21424
102672,16806
83022,7878
78398,20735
95889,28876
81117,45127
93730,18815
101380,9482
81772,27166
85304,11220
86107,5813
88696,16835
104350,19773
87331,12766
85206,16441
107445,23036
106539,28118
98712,21560
96875,13364
108464,22253
99890,7981
87771,16778
79442,21270
84170,10963
103045,14904
101544,3805
77350,10428
89225,14861
79565,55741
82849,10424
94360,20327
103040,6482
105101,46358
97077,11734
98674,12786
93447,29616
84951,20246
91953,10420
102101,8253
92604,30902
89010,9458
102729,9668
88024,10350
104367,11772
101230,11357
82524,19671
95279,48453
106098,12602
89749,8772
101277,6589
108016,27273
81259,24960
97434,20440
105289,26945
103379,9837
78317,30964
104166,21143
106660,32099
107490,12082
90684,13698
90032,6789
79481,19343
102524,9227
100778,16994
77810,14729
98979,13149
76558,19050
94550,23205
107246,6195
77429,25303
106105,12519
105213,9444
102747,9649
104958,15297
96036,17302
92310,23018
100837,6397
82858,11297
90119,10858
77304,21796
89011,11384
84623,16638
99665,22596
100592,9778
82623,10516
92035,18717
84305,10714
92903,6075
93398,19913
108067,19332
85062,8187
81727,38265
95637,10436
89690,7790
83240,17623
89711,8298
96945,10151
104924,22519
79633,20213
89582,4584
98080,7412
85992,6610
86712,12824
105767,12811
100590,8859
104574,16485
97246,11327
78141,17346
91590,28811
80767,13920
100344,14596
88987,20615
96479,21218
90598,8734
83880,8201
86802,14312
103078,15774
84736,9570
84196,4266
102062,9923
90110,6407
102907,10832
81776,24507
102431,6093
80442,13421
78656,28971
78537,35497
102511,7541
93612,19580
99284,7947
96315,15027
94305,45304
100636,10946
81816,14801
100352,15952
101476,10435
93392,32300
93995,22420
94261,30907
89117,15773
86506,2195
88456,7707
84134,10894
81088,11434
103960,10978
84925,12743
97306,10027
83752,7805
100696,3960
76472,11510
101128,13322
105932,14139
86416,7514
79616,28365
83395,14295
88734,11118
106676,17783
102442,10286
88761,17344
79708,27971
96808,18450
103755,9525
86273,17281
97635,27037
80797,25036
108000,18765
95126,39855
105187,31410
81613,21214
103906,6627
105729,7855
100637,15499
82861,7585
107823,15489
85274,14312
88926,14733
87871,10759
97970,6755
98044,8293
90277,6752
85647,12799
107447,17864
79418,7863
80383,28316
79894,16416
105875,7054
86032,11601
104423,15696
78437,14327
79480,17968
89973,6283
94007,29078
93952,15224
84548,3193
97885,11872
86571,10167
77839,37584
102201,5604
98731,8003
82395,18090
76816,32725
97956,8319
86012,12837
106393,21618
81832,27295
82787,19485
103974,6661
100725,10094
86552,7107
80174,13430
99189,14891
102543,12975
98518,14241
100334,8967
92673,17873
88008,12005
105207,25305
106462,23727
106106,15806
79705,18729
108193,17930
89668,8219
86435,11902
101281,11512
104753,27183
79004,16938
89732,3061
89201,12703
87282,13068
101589,9354
87352,11776
103388,9756
93619,17126
101941,6694
106533,13402
90018,24303
101265,15872
104255,24786
80093,27298
82433,7778
77254,18243
106400,29602
79847,10349
95735,28772
106733,20369
76318,19080
95966,18298
101690,9669
82845,15900
96266,25817
104175,28837
97347,13752
92730,47675
84738,9003
102596,6346
78356,30992
94062,31305
101662,6956
81715,29412
103046,12744
108133,6604
96302,13148
83859,22267
104815,17744
95903,27854
79683,10183
88888,21710
80529,25966
81898,75045
83435,9742
80448,14087
79241,32991
76056,20465
76342,17076
98238,9405
85878,8093
102846,10586
90215,3431
79635,59850
77561,18207
101151,13083
93594,26977
78703,37315
87596,7548
92572,19672
90757,8194
95881,19670
98008,13453
84805,9041
100888,9969
82504,16045
82177,14965
89472,32905
82301,17100
106483,8767
79808,13186
83412,17203
89386,17564
89889,20800
108249,17632
98252,8565
83525,9654
102595,10120
94255,11127
91259,26773
99539,7056
97379,24547
104452,24971
88479,11143
95424,26055
94732,46902
89025,10209
89497,42762
92405,14599
95346,15352
91337,17836
97739,14688
81087,11059
80661,9983
105537,12658
81073,27711
102770,9842
99299,9691
77528,18681
95278,32364
106536,17657
79421,14726
105026,23725
97887,11225
106163,19890
103242,10152
103098,8257
76195,15751
103418,12636
102091,12371
102341,7380
100315,20763
100377,7558
78857,21811
93748,29202
107891,9720
77063,27714
86916,8696
108347,9846
94475,18648
100383,11055
80618,33059
98926,9975
77228,16844
106915,15265
92594,11907
80745,34526
78361,10714
95725,26422
105171,7648
87007,9766
104121,15917
92877,15571
108335,44381
101357,13583
89325,10159
103144,7781
101413,6279
85182,11289
84097,17775
101970,5850
98315,4991
89048,10777
106141,8725
87105,16856
88472,13599
93361,15419
87040,7828
99831,11620
95677,12822
89770,6304
77371,27649
107143,18205
100271,11706
83905,11490
101531,14146
90617,7897
83895,18391
89453,13708
106012,20630
76381,19536
106986,15655
84143,12775
91665,41447
81350,14240
80422,13473
84794,6273
81156,31899
77082,35038
97356,9249
82730,16902
99244,9703
85538,15884
101585,11056
90288,9460
98799,3055
93547,21336
85142,9522
82012,32812
89654,15866
102304,13301
79288,42802
77400,11810
98597,6166
103156,8410
